Zeit - Wissen,vub:pb:1639493540,https://shop.zeit.de/sortiment/die-zeit-magazine/zeit-wissen/6596/zeit-wissen-1/22-die-erzaehlung-deines-lebens
Zeitschrift für Audiologie,vub:mag:14354691,https://www.z-audiol.de/index.php?option=com_frontpage&Itemid=1&limit=3&limitstart=0
ZVO Report,vub:pb:1639493981,https://www.zvo.org/publikationen/zvoreport/zvoreport-archiv
Alltag im Rheinland ,vub:pb:1643621300,https://rheinische-landeskunde.lvr.de/de/institut/institut_publikationen/institut_publikationen_institut/institut_publikationen_institut_info.html
APBB aktuell ,vub:mag:05182220,http://www.apbb.de/weblog/?page_id=1090
Arsprototo ,vub:mag:18603327,https://www.kulturstiftung.de/publikationen/arsprototo-startseite/
DGUV-Forum ,vub:mag:18678483,https://forum.dguv.de/ausgaben
ILS-Journal ,vub:mag:18676790,https://www.ils-forschung.de/wissenstransfer/ils-publikationen/ils-journal/
KulturBetrieb ,vub:mag:21943648,http://www.kulturbetrieb-magazin.de/
Kommunal direkt ,vub:pb:1643623622,https://www.kommunaldirekt.de/kd-magazin-2/ausgaben-archiv/
Die Kommunale  ,vub:pb:1643623809,https://sgk.nrw/publikationen/die-kommunale
Der Paritätische,vub:pb:1643623946,https://www.der-paritaetische.de/themen/
Soziale Sicherheit in der Landwirtschaft ,vub:pb:1643624281,https://www.svlfg.de/mediencenter#91f1cf51
Weizenbaum journal of the digital society ,vub:pb:1643624507,https://ojs.weizenbaum-institut.de/index.php/wjds/issue/archive
Amtliche Nachrichten der Bundesagentur für Arbeit ,vub:mag:16139429,https://statistik.arbeitsagentur.de/DE/Navigation/Statistiken/Statistiken-aktuell/Amtliche-Nachrichten-BA/ANBA-Nav.html
Amtsblatt der Europäischen Union Annalen des Historischen Vereins für den Niederrhein  ,isbn:9783412524043,https://eur-lex.europa.eu/TodayOJ/
Archivpflege in Westfalen-Lippe ,vub:mag:01714058,https://www.lwl-archivamt.de/de/publikationen/archivpflege-westfalen-lippe/
Bayerische Sozialnachrichten - Archiv,vub:mag:1617710X,https://www.lagoefw.de/publikationen/archiv-sozialnachrichten/
Berufsbildungsbericht  ,vub:mag:0344578X,https://www.bmbf.de/bmbf/de/bildung/berufliche-bildung/strategie-und-zusammenarbeit-in-der-berufsbildung/der-berufsbildungsbericht/der-berufsbildungsbericht_node.html
Bildung + Innovation ,vub:pb:1643625054,https://www.bildungsserver.de/innovationsportal/bildungplusartikel.html?artid=archiv&ja=jahr
Bildung in Deutschland - Bildungsbericht ,isbn:9783763961306,https://epflicht.ulb.uni-muenster.de/urn/urn:nbn:de:hbz:6:2-1342830
Bucerius Law Journal ,vub:mag:1864371X,https://law-journal.de/
Bundmagazin ,vub:mag:07223188,https://www.bund.net/service/publikationen/bundmagazin/
Demographische Forschung aus Erster Hand  ,vub:mag:16135822,https://www.demografische-forschung.org/
Deutschland Archiv ,vub:mag:00121428,https://www.bpb.de/geschichte/zeitgeschichte/deutschlandarchiv/
Difu-Berichte ,vub:mag:14396343,https://difu.de/publikationen
DJI Impulse - Forschungsmagazin des Deutschen Jugendinstituts Freilaw,vub:mag:21929335,https://www.dji.de/index.php?id=143
GMS Journal of Arts Therapies  ,vub:pb:1643625679,https://www.egms.de/dynamic/de/journals/jat/index.htm
Impulse - das Wissenschaftsmagazin der Deutschen Sporthochschule Köln ,vub:mag:21923531,https://issuu.com/sporthochschule-koeln/docs/fit_1_2010
Industrie-Kultur Online-Archiv ab 1995 ,vub:mag:09493751,https://industrie-kultur.de/ik/zeitschrift/
J§E - Jura Studium & Examen ,vub:mag:2195044X,http://www.zeitschrift-jse.de/
Jugendhilfe-aktuell ,vub:mag:16143027,https://epflicht.ulb.uni-muenster.de/urn/urn:nbn:de:hbz:6:2-22381
JurPC - Internet-Zeitschrift für Rechtsinformatik und Informationsrecht  ,vub:mag:09371125,https://www.jurpc.de/
Justizministerialblatt NRW  ,vub:mag:07218311,https://www.justiz.nrw.de/JM/jmbl/index.php
Magazin Erwachsenenbildung.at ,vub:mag:19936818,https://erwachsenenbildung.at/magazin/ausgabe-43/
"MIR - Medien, Internet und Recht ",vub:mag:18619754,https://medien-internet-und-recht.de/
Mitteilungen Nordrhein-Westfälischer Städte- und Gemeindebund Online-Archiv ,vub:pb:1643627086,https://www.kommunen.nrw/informationen/mitteilungen/datenbank.html
Natur und Heimat  ,vub:mag:00280593,https://epflicht.ulb.uni-muenster.de/urn/urn:nbn:de:hbz:6:2-98396
Rheinform: Informationen für die rheinischen Museen  ,vub:pb:1643627384,https://rheinform.lvr.de/de/nav_main/archiv/archiv.html
Rheinisches Ärzteblatt  ,vub:mag:00354481,https://www.aekno.de/aerzte/rheinisches-aerzteblatt
Die Rheinlande  ,vub:pb:1643627638,http://www.digizeitschriften.de/dms/toc/?PID=urn%3Anbn%3Ade%3Absz%3A16-diglit-193010
RHEINLANDweit ,vub:pb:1643627703,https://www.lvr.de/de/nav_main/metanavigation_5/nav_meta/service/rheinlandweit/rheinlandweit_1.jsp
Stadt und Gemeinde digital  ,vub:pb:1643627763,https://www.dstgb.de/publikationen/dstgb-magazin/
Städtetag aktuell ,vub:mag:21935491,https://www.staedtetag.de/publikationen/staedtetag-aktuell
Wir im Sport ,vub:mag:16113640,https://www.lsb.nrw/medien/lsb-magazin
Zeitschrift für Inklusion  ,vub:mag:18625088,https://www.inklusion-online.net/index.php/inklusion-online
ZJS - Zeitschrift für das juristische StudiumZEP - Zeitschrift für internationale Bildungsforschung und Entwicklungspädagogik ,vub:mag:14345668,https://zjs-online.com/index.php?sektion=1
